Time,Clean,LessNoisy,Noisy,FilteredLessNoisy,FilteredNoisy
0.608000,1.369089,1.547701,2.159951,1.395021,1.156071
0.610000,1.618035,1.573304,0.216817,1.547077,1.084154
0.612000,1.809655,1.858507,2.275491,1.856649,1.454096
0.614000,1.937167,1.827709,0.883242,2.014686,1.054327
0.616000,1.996054,2.476025,1.734981,2.097670,1.682948
0.618000,1.984230,2.337887,0.161106,1.996735,1.126947
0.620000,1.902112,1.988221,3.303696,2.009679,1.905142
0.622000,1.752616,1.353832,0.690327,1.842966,1.310895
0.624000,1.541025,1.892431,2.029421,1.650971,1.573916
0.626000,1.274852,1.642461,1.145939,1.380864,1.425711
0.628000,0.963505,0.130426,0.511653,0.358779,1.495044
0.630000,0.618032,0.491277,2.751217,0.443575,1.083470
0.632000,0.250664,-0.121277,1.036990,0.095224,0.817153
0.634000,-0.125584,-0.160624,-0.028447,-0.037098,-0.030937
0.636000,-0.497375,0.136320,-2.896021,-0.312564,-1.625745
0.638000,-0.851561,-0.531184,-1.052230,-0.598412,-1.149349
0.640000,-1.175567,-0.886053,0.058131,-0.935209,-1.422877
0.642000,-1.457940,-2.366452,-1.986318,-1.833843,-1.172233
0.644000,-1.688654,-1.612235,-2.550987,-1.697121,-1.358845
0.646000,-1.859554,-1.577055,-0.196284,-1.866556,-1.845249
0.648000,-1.964575,-2.116347,-1.680671,-1.895434,-1.758408
0.650000,-2.000000,-1.660693,-2.811985,-2.057072,-2.540127
0.652000,-1.964574,-2.510840,-1.552113,-2.055619,-2.456434
0.654000,-1.859554,-2.420424,-4.684964,-1.969012,-3.219691
0.656000,-1.688653,-1.569790,-2.914699,-1.715841,-2.669029
0.658000,-1.457939,-1.683315,-1.572306,-1.560807,-1.922675
0.660000,-1.175567,-0.865722,-2.134847,-1.188810,-1.609011
0.662000,-0.851561,-1.064780,-0.327297,-0.931019,-0.587101
0.664000,-0.497382,-0.760445,0.651458,-0.562632,-0.505338
0.666000,-0.125576,0.321877,0.243126,0.105863,0.135481
0.668000,0.250664,0.582954,-1.256058,0.377648,-0.015240
