Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.478000,1.752613,2.026767,3.764046,1.269477,1.717463
0.480000,1.902113,1.700124,2.126763,1.776545,2.422644
0.482000,1.984229,2.012025,2.801180,1.862041,2.370202
0.484000,1.996054,1.656699,2.169612,1.894513,2.627310
0.486000,1.937167,1.776328,1.790546,1.597776,2.378245
0.488000,1.809654,1.672174,2.616650,1.637034,1.909381
0.490000,1.618034,1.808376,-0.272742,1.407940,2.177549
0.492000,1.369094,1.316025,2.601996,1.434554,1.441096
0.494000,1.071654,1.221684,0.899839,1.022244,0.859202
0.496000,0.736249,1.001184,0.954638,0.807558,0.786327
0.498000,0.374763,0.785143,0.332619,0.501662,0.733512
0.500000,-0.000000,-0.297533,-0.632298,0.330490,-0.214734
0.502000,-0.374756,-0.467506,0.793479,-0.475772,-0.334429
0.504000,-0.736250,-0.932539,-0.702815,-0.764386,-0.698505
0.506000,-1.071654,-1.094693,-2.748691,-1.203821,-1.320888
0.508000,-1.369095,-1.313809,-2.582784,-1.414835,-1.509189
0.510000,-1.618035,-1.746578,-1.970822,-1.711655,-2.142662
0.512000,-1.809655,-1.561479,-1.161725,-1.955594,-2.337623
0.514000,-1.937167,-1.620399,-1.635402,-1.881109,-2.220189
0.516000,-1.996053,-1.692883,-1.464316,-1.726054,-2.312667
0.518000,-1.984229,-1.841373,-2.127523,-1.780127,-1.731254
0.520000,-1.902115,-1.840826,-1.216736,-1.744662,-1.769426
0.522000,-1.752612,-1.800427,-1.022504,-1.651045,-1.498806
0.524000,-1.541030,-1.265771,-1.367383,-1.498207,-1.367844
0.526000,-1.274846,-1.037209,-1.076080,-1.083753,-0.817441
0.528000,-0.963505,-1.038720,-2.163655,-0.776704,-0.347830
0.530000,-0.618039,-0.120030,-0.424783,-0.652443,-0.543656
0.532000,-0.250664,-0.587692,0.519262,-0.026789,-0.159449
0.534000,0.125576,0.250485,0.920893,-0.008837,0.364053
0.536000,0.497383,0.700766,0.211555,0.498184,0.848028
0.538000,0.851555,0.174173,1.394132,0.921493,1.165301
0.540000,1.175573,0.848876,2.107120,0.779949,1.350183
0.542000,1.457934,1.297493,0.989988,1.009274,1.643541
0.544000,1.688658,1.969808,2.044284,1.366065,1.885677
0.546000,1.859554,1.424923,1.551396,1.958683,1.744391
0.548000,1.964574,2.623440,2.716039,1.598014,1.749757
0.550000,2.000000,2.578294,3.796775,2.173950,1.929770
0.552000,1.964575,2.311738,2.216244,2.340469,2.142464
0.554000,1.859551,1.637658,1.482833,2.281164,1.977465
0.556000,1.688658,1.773181,0.294756,1.657351,1.613176
0.558000,1.457934,1.008367,1.446546,1.559389,1.077508
0.560000,1.175573,1.055909,0.634982,1.009633,0.822806
0.562000,0.851561,0.830910,1.382031,0.706901,0.392613
0.564000,0.497375,0.832467,1.469414,0.310614,0.326678
0.566000,0.125583,0.613332,0.968285,0.199769,-0.286851
0.568000,-0.250672,0.256661,0.311221,-0.042943,-0.429268
0.570000,-0.618032,-1.107536,-0.016172,-0.353535,-0.829953
0.572000,-0.963512,-0.872375,-1.118084,-1.310876,-0.911593
0.574000,-1.274847,-0.320044,-2.251262,-1.264533,-1.059215
0.576000,-1.541026,-1.433517,0.165941,-0.983936,-1.813428
0.578000,-1.752613,-1.715526,-0.768420,-1.437167,-1.840729
0.580000,-1.902113,-1.964782,-0.669281,-2.031410,-1.587517
0.582000,-1.984230,-1.805003,-0.156163,-2.108920,-1.465279
0.584000,-1.996053,-1.879275,-3.079090,-1.891266,-1.512653
0.586000,-1.937165,-1.219418,-0.307856,-1.911190,-1.702464
0.588000,-1.809654,-2.153147,-2.020806,-1.618303,-1.669687
0.590000,-1.618039,-1.793258,-2.727804,-1.853554,-1.442365
0.592000,-1.369094,-0.924626,-1.554274,-1.659664,-1.248412
0.594000,-1.071654,-0.843545,-0.140547,-1.029272,-1.286512
0.596000,-0.736249,-0.565636,-0.642659,-0.619581,-0.889160
0.598000,-0.374763,-0.172835,-0.819152,-0.390984,-0.799673
0.600000,0.000008,-0.139900,-0.549894,-0.014400,-0.549846
0.602000,0.374763,0.434488,-1.441191,0.207049,-0.331973
0.604000,0.736243,-0.380739,1.242829,0.682232,-0.153715
0.606000,1.071654,0.928163,-0.114731,0.199641,0.393515
0.608000,1.369089,1.547701,2.159951,0.898421,0.498719
0.610000,1.618035,1.573304,0.216817,1.402572,1.209016
0.612000,1.809655,1.858507,2.275491,1.668890,1.131576
0.614000,1.937167,1.827709,0.883242,1.671371,1.189402
0.616000,1.996054,2.476025,1.734981,1.843783,1.076204
0.618000,1.984230,2.337887,0.161106,2.173338,1.601705
0.620000,1.902112,1.988221,3.303696,2.139966,1.311971
0.622000,1.752616,1.353832,0.690327,1.822363,1.803343
0.624000,1.541025,1.892431,2.029421,1.387403,1.636352
0.626000,1.274852,1.642461,1.145939,1.353307,1.179502
0.628000,0.963505,0.130426,0.511653,1.115088,1.241120
0.630000,0.618032,0.491277,2.751217,0.082695,0.907414
0.632000,0.250664,-0.121277,1.036990,-0.136860,0.625223
0.634000,-0.125584,-0.160624,-0.028447,-0.489621,0.604573
0.636000,-0.497375,0.136320,-2.896021,-0.690307,0.583299
0.638000,-0.851561,-0.531184,-1.052230,-0.854968,-0.123914
0.640000,-1.175567,-0.886053,0.058131,-1.016023,-0.450358
0.642000,-1.457940,-2.366452,-1.986318,-1.308138,-0.609047
0.644000,-1.688654,-1.612235,-2.550987,-2.213928,-1.245659
0.646000,-1.859554,-1.577055,-0.196284,-1.959516,-1.311396
0.648000,-1.964575,-2.116347,-1.680671,-1.882070,-1.488447
0.650000,-2.000000,-1.660693,-2.811985,-1.997556,-1.516560
0.652000,-1.964574,-2.510840,-1.552113,-2.043111,-1.825006
0.654000,-1.859554,-2.420424,-4.684964,-2.233738,-1.627686
0.656000,-1.688653,-1.569790,-2.914699,-2.096317,-1.723568
0.658000,-1.457939,-1.683315,-1.572306,-1.541077,-1.677258
0.660000,-1.175567,-0.865722,-2.134847,-1.422575,-1.631456
0.662000,-0.851561,-1.064780,-0.327297,-0.884545,-1.383447
0.664000,-0.497382,-0.760445,0.651458,-0.626204,-0.760927
