Time,Clean,LessNoisy,Noisy,KalmanLessNoisy,KalmanNoisy
0.780000,-1.902113,-1.711322,-2.835129,-1.259722,-0.125904
0.782000,-1.984230,-2.182194,-2.105902,-1.508934,-0.314251
0.784000,-1.996053,-1.366493,-2.246113,-1.470452,-0.498019
0.786000,-1.937165,-1.835919,-3.702866,-1.569185,-0.802880
0.788000,-1.809654,-1.746818,-0.425255,-1.617174,-0.766958
0.790000,-1.618030,-1.782526,-1.767128,-1.661845,-0.862100
0.792000,-1.369094,-1.070685,-1.106665,-1.502139,-0.885364
0.794000,-1.071647,-0.985989,-1.808715,-1.362698,-0.973198
0.796000,-0.736249,-0.945436,-0.934398,-1.249972,-0.969507
0.798000,-0.374770,-0.291754,-1.143403,-0.991104,-0.986049
0.800000,0.000000,0.309722,0.240705,-0.639677,-0.869354
0.802000,0.374756,0.462684,1.984371,-0.341868,-0.597893
0.804000,0.736250,0.517922,1.561747,-0.109590,-0.392458
0.806000,1.071648,1.132243,2.890150,0.225899,-0.080200
0.808000,1.369095,1.951797,2.092008,0.692161,0.126431
0.810000,1.618030,1.581827,1.894695,0.932510,0.294637
0.812000,1.809655,1.859285,1.431132,1.182884,0.402746
0.814000,1.937169,1.129729,2.876657,1.168524,0.638077
0.816000,1.996054,2.133761,3.462985,1.429289,0.906796
0.818000,1.984228,2.382921,0.768325,1.686918,0.893624
0.820000,1.902112,2.039604,2.121978,1.782198,1.010471
0.822000,1.752609,1.757742,2.115600,1.775591,1.115596
0.824000,1.541025,1.629771,1.791279,1.736197,1.179870
0.826000,1.274852,1.336362,1.374600,1.628179,1.198394
0.828000,0.963505,1.288822,1.454716,1.536500,1.222777
0.830000,0.618039,0.346765,1.218754,1.215086,1.222394
0.832000,0.250664,0.384970,1.555264,0.990825,1.254058
0.834000,-0.125576,-0.341694,0.297259,0.630836,1.163043
0.836000,-0.497383,-0.800329,0.079340,0.244198,1.059956
0.838000,-0.851555,-0.893412,-0.380205,-0.063134,0.922961
0.840000,-1.175561,-1.098362,0.314346,-0.342807,0.865066
0.842000,-1.457934,-1.986023,-1.174795,-0.786732,0.671024
0.844000,-1.688658,-1.063006,-2.312342,-0.861369,0.387232
0.846000,-1.859552,-2.250215,-2.660133,-1.236575,0.097352
0.848000,-1.964575,-2.167984,-3.750923,-1.488201,-0.268715
0.850000,-2.000000,-1.635591,-1.958233,-1.528019,-0.429430
